t[s]          U[mV]
 0             2778 
 2             2901 
 4             2937 
 6             2970 
 8             3000 
 10            3024 
 12            3051 
 14            3075 
 16            3096 
 18            3120 
 20            3138 
 22            3156 
 24            3174 
 26            3192 
 28            3207 
 30            3222 
 32            3237 
 34            3249 
 36            3261 
 38            3273 
 40            3285 
 42            3297 
 44            3306 
 46            3315 
 48            3327 
 50            3333 
 52            3345 
 54            3354 
 56            3360 
 58            3369 
 60            3375 
 62            3384 
 64            3390 
 66            3396 
 68            3405 
 70            3411 
 72            3417 
 74            3423 
 76            3429 
 78            3435 
 80            3441 
 82            3447 
 84            3453 
 86            3459 
 88            3465 
 90            3468 
 92            3474 
 94            3480 
 96            3486 
 98            3489 
 100           3495 
 102           3498 
 104           3504 
 106           3507 
 108           3510 
 110           3516 
 112           3519 
 114           3525 
 116           3528 
 118           3531 
 120           3537 
 122           3540 
 124           3543 
 126           3546 
 128           3552 
 130           3555 
 132           3558 
 134           3564 
 136           3567 
 138           3570 
 140           3576 
 142           3579 
 144           3579 
 146           3585 
 148           3588 
 150           3591 
 152           3594 
 154           3597 
 156           3600 
 158           3603 
 160           3606 
 162           3609 
 164           3612 
 166           3615 
 168           3618 
 170           3621 
 172           3624 
 174           3624 
 176           3627 
 178           3630 
 180           3633 
 182           3636 
 184           3639 
 186           3642 
 188           3642 
 190           3645 
 192           3648 
 194           3651 
 196           3651 
 198           3654 
 200           3657 
 202           3657 
 204           3660 
 206           3663 
 208           3666 
 210           3669 
 212           3669 
 214           3672 
 216           3675 
 218           3675 
 220           3678 
 222           3681 
 224           3684 
 226           3684 
 228           3687 
 230           3690 
 232           3690 
 234           3693 
 236           3696 
 238           3696 
 240           3699 
 242           3699 
 244           3702 
 246           3705 
 248           3705 
 250           3708 
 252           3708 
 254           3711 
 256           3714 
 258           3714 
 260           3717 
 262           3717 
 264           3720 
 266           3720 
 268           3723 
 270           3726 
 272           3726 
 274           3729 
 276           3729 
 278           3732 
 280           3732 
 282           3735 
 284           3735 
 286           3738 
 288           3738 
 290           3741 
 292           3741 
 294           3741 
 296           3744 
 298           3744 
 300           3747 
 302           3747 
 304           3747 
 306           3750 
 308           3750 
 310           3750 
 312           3750 
 314           3753 
 316           3753 
 318           3753 
 320           3753 
 322           3756 
 324           3756 
 326           3756 
 328           3756 
 330           3756 
 332           3756 
 334           3756 
 336           3759 
 338           3756 
 340           3759 
 342           3759 
 344           3759 
 346           3759 
 348           3759 
 350           3759 
 352           3759 
 354           3762 
 356           3759 
 358           3759 
 360           3762 
 362           3762 
 364           3762 
 366           3762 
 368           3762 
 370           3762 
 372           3762 
 374           3762 
 376           3762 
 378           3762 
 380           3762 
 382           3762 
 384           3765 
 386           3765 
 388           3765 
 390           3765 
 392           3765 
 394           3765 
 396           3765 
 398           3765 
 400           3765 
 402           3765 
 404           3768 
 406           3765 
 408           3765 
 410           3765 
 412           3768 
 414           3768 
 416           3768 
 418           3768 
 420           3768 
 422           3768 
 424           3768 
 426           3768 
 428           3768 
 430           3768 
 432           3771 
 434           3771 
 436           3771 
 438           3771 
 440           3771 
 442           3771 
 444           3771 
 446           3771 
 448           3771 
 450           3771 
 452           3771 
 454           3774 
 456           3774 
 458           3774 
 460           3774 
 462           3774 
 464           3774 
 466           3774 
 468           3774 
 470           3774 
 472           3774 
 474           3774 
 476           3777 
 478           3777 
 480           3777 
 482           3777 
 484           3777 
 486           3777 
 488           3777 
 490           3780 
 492           3777 
 494           3780 
 496           3780 
 498           3780 
 500           3780 
 502           3780 
 504           3780 
 506           3783 
 508           3780 
 510           3783 
 512           3783 
 514           3783 
 516           3783 
 518           3783 
 520           3783 
 522           3783 
 524           3783 
 526           3786 
 528           3786 
 530           3783 
 532           3786 
 534           3786 
 536           3786 
 538           3786 
 540           3786 
 542           3786 
 544           3786 
 546           3789 
 548           3789 
 550           3789 
 552           3789 
 554           3789 
 556           3789 
 558           3792 
 560           3789 
 562           3792 
 564           3792 
 566           3792 
 568           3792 
 570           3792 
 572           3792 
 574           3792 
 576           3792 
 578           3795 
 580           3795 
 582           3795 
 584           3795 
 586           3795 
 588           3795 
 590           3795 
 592           3795 
 594           3795 
 596           3798 
 598           3798 
 600           3798 
 602           3798 
 604           3798 
 606           3798 
 608           3798 
 610           3798 
 612           3798 
 614           3801 
 616           3798 
 618           3801 
 620           3801 
 622           3801 
 624           3801 
 626           3801 
 628           3801 
 630           3801 
 632           3801 
 634           3804 
 636           3804 
 638           3804 
 640           3804 
 642           3804 
 644           3804 
 646           3804 
 648           3804 
 650           3807 
 652           3807 
 654           3807 
 656           3807 
 658           3807 
 660           3807 
 662           3807 
 664           3807 
 666           3807 
 668           3810 
 670           3810 
 672           3810 
 674           3810 
 676           3810 
 678           3810 
 680           3810 
 682           3810 
 684           3810 
 686           3810 
 688           3810 
 690           3813 
 692           3813 
 694           3813 
 696           3813 
 698           3813 
 700           3813 
 702           3813 
 704           3813 
 706           3813 
 708           3813 
 710           3816 
 712           3816 
 714           3816 
 716           3816 
 718           3816 
 720           3816 
 722           3816 
 724           3816 
 726           3816 
 728           3819 
 730           3819 
 732           3819 
 734           3819 
 736           3819 
 738           3819 
 740           3819 
 742           3819 
 744           3819 
 746           3819 
 748           3819 
 750           3822 
 752           3819 
 754           3822 
 756           3822 
 758           3822 
 760           3822 
 762           3822 
 764           3822 
 766           3822 
 768           3822 
 770           3822 
 772           3825 
 774           3825 
 776           3825 
 778           3825 
 780           3825 
 782           3825 
 784           3825 
 786           3825 
 788           3825 
 790           3825 
 792           3825 
 794           3828 
 796           3828 
 798           3828 
 800           3828 
 802           3828 
 804           3828 
 806           3828 
 808           3828 
 810           3828 
 812           3828 
 814           3831 
 816           3831 
 818           3831 
 820           3831 
 822           3831 
 824           3831 
 826           3831 
 828           3831 
 830           3831 
 832           3831 
 834           3831 
 836           3831 
 838           3831 
 840           3831 
 842           3834 
 844           3834 
 846           3834 
 848           3834 
 850           3834 
 852           3834 
 854           3834 
 856           3834 
 858           3834 
 860           3834 
 862           3837 
 864           3834 
 866           3837 
 868           3837 
 870           3837 
 872           3837 
 874           3837 
 876           3837 
 878           3837 
 880           3837 
 882           3837 
 884           3837 
 886           3837 
 888           3840 
 890           3840 
 892           3840 
 894           3840 
 896           3840 
 898           3840 
 900           3840 
 902           3840 
 904           3840 
 906           3840 
 908           3840 
 910           3843 
 912           3840 
 914           3843 
 916           3843 
 918           3843 
 920           3843 
 922           3843 
 924           3843 
 926           3843 
 928           3843 
 930           3843 
 932           3843 
 934           3843 
 936           3843 
 938           3843 
 940           3846 
 942           3846 
 944           3846 
 946           3846 
 948           3846 
 950           3846 
 952           3846 
 954           3846 
 956           3846 
 958           3846 
 960           3846 
 962           3846 
 964           3846 
 966           3846 
 968           3849 
 970           3849 
 972           3849 
 974           3849 
 976           3849 
 978           3849 
 980           3849 
 982           3849 
 984           3849 
 986           3849 
 988           3849 
 990           3849 
 992           3849 
 994           3849 
 996           3849 
 998           3849 
 1000          3849 
 1002          3852 
 1004          3849 
 1006          3852 
 1008          3852 
 1010          3852 
 1012          3852 
 1014          3852 
 1016          3852 
 1018          3852 
 1020          3852 
 1022          3852 
 1024          3852 
 1026          3852 
 1028          3852 
 1030          3852 
 1032          3852 
 1034          3852 
 1036          3855 
 1038          3855 
 1040          3852 
 1042          3852 
 1044          3855 
 1046          3855 
 1048          3852 
 1050          3855 
 1052          3855 
 1054          3855 
 1056          3855 
 1058          3855 
 1060          3855 
 1062          3855 
 1064          3855 
 1066          3855 
 1068          3855 
 1070          3855 
 1072          3855 
 1074          3855 
 1076          3855 
 1078          3855 
 1080          3855 
 1082          3855 
 1084          3855 
 1086          3855 
 1088          3858 
 1090          3858 
 1092          3858 
 1094          3858 
 1096          3858 
 1098          3858 
 1100          3858 
 1102          3858 
 1104          3858 
 1106          3858 
 1108          3858 
 1110          3858 
 1112          3858 
 1114          3858 
 1116          3858 
 1118          3858 
 1120          3858 
 1122          3858 
 1124          3858 
 1126          3858 
 1128          3858 
 1130          3858 
 1132          3858 
 1134          3858 
 1136          3858 
 1138          3858 
 1140          3858 
 1142          3861 
 1144          3858 
 1146          3858 
 1148          3858 
 1150          3861 
 1152          3861 
 1154          3858 
 1156          3861 
 1158          3861 
 1160          3858 
 1162          3861 
 1164          3861 
 1166          3861 
 1168          3861 
 1170          3861 
 1172          3861 
 1174          3861 
 1176          3861 
 1178          3861 
 1180          3861 
 1182          3861 
 1184          3861 
 1186          3861 
 1188          3861 
 1190          3861 
 1192          3861 
 1194          3861 
 1196          3861 
 1198          3861 
 1200          3861 
 1202          3861 
 1204          3861 
 1206          3861 
 1208          3861 
 1210          3861 
 1212          3864 
 1214          3864 
 1216          3861 
 1218          3864 
 1220          3864 
 1222          3864 
 1224          3864 
 1226          3864 
 1228          3864 
 1230          3864 
 1232          3864 
 1234          3864 
 1236          3864 
 1238          3864 
 1240          3864 
 1242          3864 
 1244          3864 
 1246          3864 
 1248          3864 
 1250          3864 
 1252          3864 
 1254          3864 
 1256          3864 
 1258          3864 
 1260          3864 
 1262          3864 
 1264          3864 
 1266          3864 
 1268          3864 
 1270          3864 
 1272          3864 
 1274          3864 
 1276          3864 
 1278          3864 
 1280          3864 
 1282          3864 
 1284          3867 
 1286          3867 
 1288          3864 
 1290          3867 
 1292          3867 
 1294          3867 
 1296          3867 
 1298          3867 
 1300          3867 
 1302          3867 
 1304          3867 
 1306          3867 
 1308          3867 
 1310          3867 
 1312          3867 
 1314          3867 
 1316          3867 
 1318          3867 
 1320          3867 
 1322          3867 
 1324          3867 
 1326          3867 
 1328          3867 
 1330          3867 
 1332          3867 
 1334          3867 
 1336          3867 
 1338          3867 
 1340          3867 
 1342          3867 
 1344          3867 
 1346          3867 
 1348          3867 
 1350          3870 
 1352          3870 
 1354          3870 
 1356          3870 
 1358          3870 
 1360          3870 
 1362          3870 
 1364          3870 
 1366          3870 
 1368          3870 
 1370          3870 
 1372          3870 
 1374          3870 
 1376          3870 
 1378          3870 
 1380          3870 
 1382          3870 
 1384          3870 
 1386          3870 
 1388          3870 
 1390          3870 
 1392          3870 
 1394          3870 
 1396          3870 
 1398          3870 
 1400          3870 
 1402          3873 
 1404          3873 
 1406          3870 
 1408          3873 
 1410          3870 
 1412          3873 
 1414          3873 
 1416          3873 
 1418          3873 
 1420          3873 
 1422          3873 
 1424          3873 
 1426          3873 
 1428          3873 
 1430          3873 
 1432          3873 
 1434          3873 
 1436          3873 
 1438          3873 
 1440          3873 
 1442          3873 
 1444          3873 
 1446          3873 
 1448          3873 
 1450          3873 
 1452          3873 
 1454          3876 
 1456          3873 
 1458          3873 
 1460          3873 
 1462          3873 
 1464          3876 
 1466          3876 
 1468          3876 
 1470          3876 
 1472          3876 
 1474          3876 
 1476          3876 
 1478          3876 
 1480          3876 
 1482          3876 
 1484          3876 
 1486          3876 
 1488          3876 
 1490          3876 
 1492          3876 
 1494          3876 
 1496          3876 
 1498          3876 
 1500          3876 
 1502          3879 
 1504          3876 
 1506          3879 
 1508          3879 
 1510          3879 
 1512          3879 
 1514          3879 
 1516          3879 
 1518          3879 
 1520          3879 
 1522          3879 
 1524          3879 
 1526          3879 
 1528          3879 
 1530          3879 
 1532          3879 
 1534          3879 
 1536          3879 
 1538          3879 
 1540          3879 
 1542          3882 
 1544          3882 
 1546          3882 
 1548          3879 
 1550          3882 
 1552          3882 
 1554          3882 
 1556          3882 
 1558          3882 
 1560          3882 
 1562          3882 
 1564          3882 
 1566          3882 
 1568          3882 
 1570          3882 
 1572          3882 
 1574          3882 
 1576          3882 
 1578          3882 
 1580          3882 
 1582          3882 
 1584          3882 
 1586          3882 
 1588          3885 
 1590          3885 
 1592          3885 
 1594          3885 
 1596          3885 
 1598          3885 
 1600          3885 
 1602          3885 
 1604          3885 
 1606          3885 
 1608          3885 
 1610          3885 
 1612          3885 
 1614          3885 
 1616          3885 
