t[s]          U[mV]
 0             2913 
 2             3051 
 4             3105 
 6             3153 
 8             3195 
 10            3234 
 12            3267 
 14            3297 
 16            3327 
 18            3351 
 20            3375 
 22            3396 
 24            3414 
 26            3432 
 28            3450 
 30            3465 
 32            3480 
 34            3495 
 36            3507 
 38            3519 
 40            3531 
 42            3543 
 44            3552 
 46            3564 
 48            3576 
 50            3585 
 52            3594 
 54            3600 
 56            3609 
 58            3618 
 60            3627 
 62            3633 
 64            3642 
 66            3648 
 68            3654 
 70            3660 
 72            3666 
 74            3672 
 76            3678 
 78            3684 
 80            3690 
 82            3696 
 84            3702 
 86            3708 
 88            3711 
 90            3717 
 92            3723 
 94            3729 
 96            3732 
 98            3738 
 100           3741 
 102           3747 
 104           3750 
 106           3756 
 108           3759 
 110           3762 
 112           3768 
 114           3771 
 116           3774 
 118           3780 
 120           3783 
 122           3789 
 124           3792 
 126           3795 
 128           3798 
 130           3801 
 132           3804 
 134           3807 
 136           3810 
 138           3813 
 140           3813 
 142           3816 
 144           3819 
 146           3819 
 148           3822 
 150           3822 
 152           3825 
 154           3825 
 156           3828 
 158           3828 
 160           3828 
 162           3831 
 164           3831 
 166           3831 
 168           3834 
 170           3834 
 172           3834 
 174           3834 
 176           3837 
 178           3837 
 180           3837 
 182           3837 
 184           3837 
 186           3837 
 188           3840 
 190           3840 
 192           3840 
 194           3840 
 196           3840 
 198           3843 
 200           3843 
 202           3843 
 204           3843 
 206           3846 
 208           3846 
 210           3846 
 212           3846 
 214           3846 
 216           3846 
 218           3849 
 220           3849 
 222           3849 
 224           3849 
 226           3852 
 228           3852 
 230           3852 
 232           3852 
 234           3852 
 236           3855 
 238           3855 
 240           3855 
 242           3855 
 244           3855 
 246           3858 
 248           3858 
 250           3858 
 252           3858 
 254           3858 
 256           3861 
 258           3861 
 260           3861 
 262           3861 
 264           3864 
 266           3864 
 268           3864 
 270           3864 
 272           3867 
 274           3867 
 276           3867 
 278           3867 
 280           3867 
 282           3870 
 284           3870 
 286           3870 
 288           3870 
 290           3870 
 292           3873 
 294           3873 
 296           3873 
 298           3873 
 300           3876 
 302           3876 
 304           3876 
 306           3876 
 308           3876 
 310           3879 
 312           3879 
 314           3879 
 316           3879 
 318           3882 
 320           3879 
 322           3882 
 324           3882 
 326           3882 
 328           3882 
 330           3885 
 332           3885 
 334           3885 
 336           3885 
 338           3885 
 340           3885 
 342           3888 
 344           3888 
 346           3888 
 348           3888 
 350           3888 
 352           3891 
 354           3891 
 356           3891 
 358           3891 
 360           3891 
 362           3891 
 364           3894 
 366           3894 
 368           3894 
 370           3894 
 372           3894 
 374           3894 
 376           3897 
 378           3897 
 380           3897 
 382           3897 
 384           3897 
 386           3897 
 388           3900 
 390           3900 
 392           3900 
 394           3900 
 396           3900 
 398           3900 
 400           3903 
 402           3903 
 404           3903 
 406           3903 
 408           3903 
 410           3906 
 412           3906 
 414           3906 
 416           3906 
 418           3906 
 420           3906 
 422           3906 
 424           3909 
 426           3909 
 428           3909 
