C,zak,najpod,u
1.9e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
1.9999999999999998e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
2.1e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
2.2e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
3.9999999999999996e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
5.5e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
6e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
6.9e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
7e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
7e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
6.499999999999999e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
6.499999999999999e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
6.499999999999999e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
4.2e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
3.2e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
2.7999999999999996e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
2.4999999999999996e-10,9.999999999999999e-10,4.9999999999999995e-11,3.366501646120692e-11
