U	I
-6.0	-0.000217
-5.99	-0.000217
-5.98	-0.000217
-5.97	-0.000217
-5.96	-0.000217
-5.95	-0.000217
-5.94	-0.000217
-5.93	-0.000217
-5.92	-0.000217
-5.91	-0.000217
-5.9	-0.000217
-5.89	-0.000217
-5.88	-0.000217
-5.87	-0.000217
-5.86	-0.000217
-5.85	-0.000217
-5.84	-0.000217
-5.83	-0.000217
-5.82	-0.000217
-5.81	-0.000217
-5.8	-0.000217
-5.79	-0.000217
-5.78	-0.000217
-5.77	-0.000217
-5.76000000000001	-0.000217
-5.75000000000001	-0.000217
-5.74000000000001	-0.000217
-5.73000000000001	-0.000217
-5.72000000000001	-0.000217
-5.71000000000001	-0.000217
-5.70000000000001	-0.000217
-5.69000000000001	-0.000217
-5.68000000000001	-0.000217
-5.67000000000001	-0.000217
-5.66000000000001	-0.000217
-5.65000000000001	-0.000217
-5.64000000000001	-0.000217
-5.63000000000001	-0.000217
-5.62000000000001	-0.000217
-5.61000000000001	-0.000217
-5.60000000000001	-0.000217
-5.59000000000001	-0.000217
-5.58000000000001	-0.000217
-5.57000000000001	-0.000217
-5.56000000000001	-0.000217
-5.55000000000001	-0.000217
-5.54000000000001	-0.000217
-5.53000000000001	-0.000217
-5.52000000000001	-0.000217
-5.51000000000001	-0.000217
-5.50000000000001	-0.000217
-5.49000000000001	-0.000217
-5.48000000000001	-0.000217
-5.47000000000001	-0.000217
-5.46000000000001	-0.000217
-5.45000000000001	-0.000217
-5.44000000000001	-0.000217
-5.43000000000001	-0.000217
-5.42000000000001	-0.000217
-5.41000000000001	-0.000217
-5.40000000000001	-0.000217
-5.39000000000001	-0.000217
-5.38000000000001	-0.000217
-5.37000000000001	-0.000217
-5.36000000000001	-0.000217
-5.35000000000001	-0.000217
-5.34000000000001	-0.000217
-5.33000000000001	-0.000217
-5.32000000000001	-0.000217
-5.31000000000001	-0.000217
-5.30000000000001	-0.000217
-5.29000000000002	-0.000217
-5.28000000000002	-0.000217
-5.27000000000002	-0.000217
-5.26000000000002	-0.000217
-5.25000000000002	-0.000217
-5.24000000000002	-0.000217
-5.23000000000002	-0.000217
-5.22000000000002	-0.000217
-5.21000000000002	-0.000217
-5.20000000000002	-0.000217
-5.19000000000002	-0.000217
-5.18000000000002	-0.000217
-5.17000000000002	-0.000217
-5.16000000000002	-0.000217
-5.15000000000002	-0.000217
-5.14000000000002	-0.000217
-5.13000000000002	-0.000217
-5.12000000000002	-0.000217
-5.11000000000002	-0.000217
-5.10000000000002	-0.000217
-5.09000000000002	-0.000217
-5.08000000000002	-0.000217
-5.07000000000002	-0.000217
-5.06000000000002	-0.000217
-5.05000000000002	-0.000217
-5.04000000000002	-0.000217
-5.03000000000002	-0.000217
-5.02000000000002	-0.000217
-5.01000000000002	-0.000217
-5.00000000000002	-0.000217
-4.99000000000002	-0.000217
-4.98000000000002	-0.000217
-4.97000000000002	-0.000217
-4.96000000000002	-0.000217
-4.95000000000002	-0.000217
-4.94000000000002	-0.000217
-4.93000000000002	-0.000217
-4.92000000000002	-0.000217
-4.91000000000002	-0.000217
-4.90000000000002	-0.000217
-4.89000000000002	-0.000217
-4.88000000000002	-0.000217
-4.87000000000002	-0.000217
-4.86000000000002	-0.000217
-4.85000000000002	-0.000217
-4.84000000000002	-0.000217
-4.83000000000002	-0.000217
-4.82000000000003	-0.000217
-4.81000000000003	-0.000217
-4.80000000000003	-0.000217
-4.79000000000003	-0.000217
-4.78000000000003	-0.000217
-4.77000000000003	-0.000217
-4.76000000000003	-0.000217
-4.75000000000003	-0.000217
-4.74000000000003	-0.000217
-4.73000000000003	-0.000217
-4.72000000000003	-0.000217
-4.71000000000003	-0.000217
-4.70000000000003	-0.000217
-4.69000000000003	-0.000217
-4.68000000000003	-0.000217
-4.67000000000003	-0.000217
-4.66000000000003	-0.000217
-4.65000000000003	-0.000217
-4.64000000000003	-0.000217
-4.63000000000003	-0.000217
-4.62000000000003	-0.000217
-4.61000000000003	-0.000217
-4.60000000000003	-0.000217
-4.59000000000003	-0.000217
-4.58000000000003	-0.000217
-4.57000000000003	-0.000217
-4.56000000000003	-0.000217
-4.55000000000003	-0.000217
-4.54000000000003	-0.000217
-4.53000000000003	-0.000217
-4.52000000000003	-0.000217
-4.51000000000003	-0.000217
-4.50000000000003	-0.000217
-4.49000000000003	-0.000216
-4.48000000000003	-0.000217
-4.47000000000003	-0.000216
-4.46000000000003	-0.000217
-4.45000000000003	-0.000216
-4.44000000000003	-0.000217
-4.43000000000003	-0.000216
-4.42000000000003	-0.000217
-4.41000000000003	-0.000217
-4.40000000000003	-0.000217
-4.39000000000003	-0.000217
-4.38000000000003	-0.000217
-4.37000000000003	-0.000216
-4.36000000000004	-0.000217
-4.35000000000004	-0.000217
-4.34000000000004	-0.000216
-4.33000000000004	-0.000216
-4.32000000000004	-0.000216
-4.31000000000004	-0.000216
-4.30000000000004	-0.000217
-4.29000000000004	-0.000217
-4.28000000000004	-0.000216
-4.27000000000004	-0.000216
-4.26000000000004	-0.000217
-4.25000000000004	-0.000216
-4.24000000000004	-0.000216
-4.23000000000004	-0.000216
-4.22000000000004	-0.000217
-4.21000000000004	-0.000217
-4.20000000000004	-0.000216
-4.19000000000004	-0.000217
-4.18000000000004	-0.000217
-4.17000000000004	-0.000216
-4.16000000000004	-0.000216
-4.15000000000004	-0.000216
-4.14000000000004	-0.000216
-4.13000000000004	-0.000216
-4.12000000000004	-0.000216
-4.11000000000004	-0.000216
-4.10000000000004	-0.000216
-4.09000000000004	-0.000216
-4.08000000000004	-0.000216
-4.07000000000004	-0.000217
-4.06000000000004	-0.000216
-4.05000000000004	-0.000216
-4.04000000000004	-0.000216
-4.03000000000004	-0.000216
-4.02000000000004	-0.000216
-4.01000000000004	-0.000216
-4.00000000000004	-0.000216
-3.99000000000004	-0.000216
-3.98000000000004	-0.000216
-3.97000000000004	-0.000216
-3.96000000000004	-0.000216
-3.95000000000004	-0.000216
-3.94000000000004	-0.000216
-3.93000000000004	-0.000216
-3.92000000000004	-0.000216
-3.91000000000004	-0.000216
-3.90000000000004	-0.000216
-3.89000000000005	-0.000216
-3.88000000000005	-0.000216
-3.87000000000005	-0.000217
-3.86000000000005	-0.000216
-3.85000000000005	-0.000216
-3.84000000000005	-0.000216
-3.83000000000005	-0.000216
-3.82000000000005	-0.000216
-3.81000000000005	-0.000216
-3.80000000000005	-0.000216
-3.79000000000005	-0.000216
-3.78000000000005	-0.000216
-3.77000000000005	-0.000216
-3.76000000000005	-0.000216
-3.75000000000005	-0.000216
-3.74000000000005	-0.000216
-3.73000000000005	-0.000216
-3.72000000000005	-0.000216
-3.71000000000005	-0.000216
-3.70000000000005	-0.000216
-3.69000000000005	-0.000216
-3.68000000000005	-0.000216
-3.67000000000005	-0.000216
-3.66000000000005	-0.000216
-3.65000000000005	-0.000216
-3.64000000000005	-0.000216
-3.63000000000005	-0.000216
