U	I
-6.0	-1.53e-06
-5.99	-1.53e-06
-5.98	-1.53e-06
-5.97	-1.52e-06
-5.96	-1.52e-06
-5.95	-1.52e-06
-5.94	-1.52e-06
-5.93	-1.52e-06
-5.92	-1.52e-06
-5.91	-1.52e-06
-5.9	-1.52e-06
-5.89	-1.52e-06
-5.88	-1.51e-06
-5.87	-1.51e-06
-5.86	-1.51e-06
-5.85	-1.51e-06
-5.84	-1.51e-06
-5.83	-1.51e-06
-5.82	-1.51e-06
-5.81	-1.51e-06
-5.8	-1.51e-06
-5.79	-1.51e-06
-5.78	-1.51e-06
-5.77	-1.5e-06
-5.76000000000001	-1.5e-06
-5.75000000000001	-1.5e-06
-5.74000000000001	-1.5e-06
-5.73000000000001	-1.5e-06
-5.72000000000001	-1.5e-06
-5.71000000000001	-1.5e-06
-5.70000000000001	-1.5e-06
-5.69000000000001	-1.5e-06
-5.68000000000001	-1.49e-06
-5.67000000000001	-1.49e-06
-5.66000000000001	-1.49e-06
-5.65000000000001	-1.49e-06
-5.64000000000001	-1.49e-06
-5.63000000000001	-1.49e-06
-5.62000000000001	-1.49e-06
-5.61000000000001	-1.49e-06
-5.60000000000001	-1.49e-06
-5.59000000000001	-1.48e-06
-5.58000000000001	-1.49e-06
-5.57000000000001	-1.48e-06
-5.56000000000001	-1.48e-06
-5.55000000000001	-1.48e-06
-5.54000000000001	-1.48e-06
-5.53000000000001	-1.48e-06
-5.52000000000001	-1.48e-06
-5.51000000000001	-1.48e-06
-5.50000000000001	-1.48e-06
-5.49000000000001	-1.48e-06
-5.48000000000001	-1.47e-06
-5.47000000000001	-1.47e-06
-5.46000000000001	-1.47e-06
-5.45000000000001	-1.47e-06
-5.44000000000001	-1.47e-06
-5.43000000000001	-1.47e-06
-5.42000000000001	-1.47e-06
-5.41000000000001	-1.47e-06
-5.40000000000001	-1.47e-06
-5.39000000000001	-1.46e-06
-5.38000000000001	-1.46e-06
-5.37000000000001	-1.46e-06
-5.36000000000001	-1.46e-06
-5.35000000000001	-1.46e-06
-5.34000000000001	-1.46e-06
-5.33000000000001	-1.46e-06
-5.32000000000001	-1.46e-06
-5.31000000000001	-1.46e-06
-5.30000000000001	-1.45e-06
-5.29000000000002	-1.46e-06
-5.28000000000002	-1.45e-06
-5.27000000000002	-1.45e-06
-5.26000000000002	-1.45e-06
-5.25000000000002	-1.45e-06
-5.24000000000002	-1.45e-06
-5.23000000000002	-1.45e-06
-5.22000000000002	-1.45e-06
