U	I
-4.2	-0.01194
-4.19	-0.01167
-4.18	-0.01142
-4.17	-0.01117
-4.16	-0.01084
-4.15	-0.01059
-4.14	-0.01036
-4.13	-0.01013
-4.12	-0.00993
-4.11	-0.00972
-4.1	-0.00943
-4.09	-0.0092
-4.08	-0.009
-4.07	-0.00883
-4.06	-0.00861
-4.05	-0.00844
-4.04	-0.00824
-4.03	-0.00801
-4.02	-0.00785
-4.01	-0.00767
-4.0	-0.0075
-3.99	-0.00733
-3.98	-0.00717
-3.97000000000001	-0.00701
-3.96000000000001	-0.00681
-3.95000000000001	-0.00666
-3.94000000000001	-0.0065
-3.93000000000001	-0.00636
-3.92000000000001	-0.00623
-3.91000000000001	-0.0061
-3.90000000000001	-0.00592
-3.89000000000001	-0.00579
-3.88000000000001	-0.00567
-3.87000000000001	-0.00554
-3.86000000000001	-0.00542
-3.85000000000001	-0.0053
-3.84000000000001	-0.00518
-3.83000000000001	-0.00503
-3.82000000000001	-0.00493
-3.81000000000001	-0.00482
-3.80000000000001	-0.00472
-3.79000000000001	-0.00461
-3.78000000000001	-0.00452
-3.77000000000001	-0.00442
-3.76000000000001	-0.00429
-3.75000000000001	-0.0042
-3.74000000000001	-0.0041
-3.73000000000001	-0.00401
-3.72000000000001	-0.00392
-3.71000000000001	-0.00385
-3.70000000000001	-0.00373
-3.69000000000001	-0.00364
-3.68000000000001	-0.00356
-3.67000000000001	-0.00348
-3.66000000000001	-0.00341
-3.65000000000001	-0.00334
-3.64000000000001	-0.00326
-3.63000000000001	-0.00317
-3.62000000000001	-0.0031
-3.61000000000001	-0.00303
-3.60000000000001	-0.00296
-3.59000000000001	-0.00289
-3.58000000000001	-0.00283
-3.57000000000001	-0.00276
-3.56000000000001	-0.00268
-3.55000000000001	-0.00262
-3.54000000000001	-0.00255
-3.53000000000001	-0.0025
-3.52000000000001	-0.00244
-3.51000000000001	-0.00239
-3.50000000000002	-0.00232
-3.49000000000002	-0.00226
-3.48000000000002	-0.00221
-3.47000000000002	-0.00217
-3.46000000000002	-0.00211
-3.45000000000002	-0.00206
-3.44000000000002	-0.00202
-3.43000000000002	-0.00196
-3.42000000000002	-0.00191
-3.41000000000002	-0.00187
-3.40000000000002	-0.00183
-3.39000000000002	-0.00178
-3.38000000000002	-0.00174
-3.37000000000002	-0.0017
-3.36000000000002	-0.00165
-3.35000000000002	-0.00161
-3.34000000000002	-0.00158
-3.33000000000002	-0.00154
-3.32000000000002	-0.00151
-3.31000000000002	-0.00147
-3.30000000000002	-0.00143
-3.29000000000002	-0.00139
-3.28000000000002	-0.00136
-3.27000000000002	-0.00133
-3.26000000000002	-0.00129
-3.25000000000002	-0.00126
-3.24000000000002	-0.00123
-3.23000000000002	-0.00118
-3.22000000000002	-0.00115
-3.21000000000002	-0.00113
-3.20000000000002	-0.0011
-3.19000000000002	-0.00108
-3.18000000000002	-0.00105
-3.17000000000002	-0.00102
-3.16000000000002	-0.00098
-3.15000000000002	-0.000956
-3.14000000000002	-0.000932
-3.13000000000002	-0.000907
-3.12000000000002	-0.000883
-3.11000000000002	-0.000861
-3.10000000000002	-0.000835
-3.09000000000002	-0.000814
-3.08000000000002	-0.000792
-3.07000000000002	-0.000771
-3.06000000000002	-0.000753
-3.05000000000002	-0.000733
-3.04000000000002	-0.000715
-3.03000000000003	-0.000689
-3.02000000000003	-0.000672
-3.01000000000003	-0.000655
-3.00000000000003	-0.00064
-2.99000000000003	-0.000623
-2.98000000000003	-0.000607
-2.97000000000003	-0.00059
-2.96000000000003	-0.000571
-2.95000000000003	-0.000556
-2.94000000000003	-0.000542
-2.93000000000003	-0.000527
-2.92000000000003	-0.000514
-2.91000000000003	-0.0005
-2.90000000000003	-0.000484
-2.89000000000003	-0.000471
-2.88000000000003	-0.000458
-2.87000000000003	-0.000446
-2.86000000000003	-0.000434
-2.85000000000003	-0.000423
-2.84000000000003	-0.000411
-2.83000000000003	-0.000395
-2.82000000000003	-0.000385
-2.81000000000003	-0.000374
-2.80000000000003	-0.000364
-2.79000000000003	-0.000354
-2.78000000000003	-0.000345
-2.77000000000003	-0.000335
-2.76000000000003	-0.000323
-2.75000000000003	-0.000315
-2.74000000000003	-0.000305
-2.73000000000003	-0.000297
-2.72000000000003	-0.000288
-2.71000000000003	-0.000279
-2.70000000000003	-0.00027
-2.69000000000003	-0.000262
-2.68000000000003	-0.000255
-2.67000000000003	-0.000247
-2.66000000000003	-0.00024
-2.65000000000003	-0.000233
-2.64000000000003	-0.000226
-2.63000000000003	-0.000218
-2.62000000000003	-0.000211
-2.61000000000003	-0.000205
-2.60000000000003	-0.0002
-2.59000000000003	-0.000194
-2.58000000000003	-0.000188
-2.57000000000003	-0.000183
-2.56000000000004	-0.000175
-2.55000000000004	-0.00017
-2.54000000000004	-0.000165
-2.53000000000004	-0.00016
-2.52000000000004	-0.000155
-2.51000000000004	-0.00015
-2.50000000000004	-0.000145
-2.49000000000004	-0.00014
-2.48000000000004	-0.000136
-2.47000000000004	-0.000132
-2.46000000000004	-0.000128
-2.45000000000004	-0.000124
-2.44000000000004	-0.00012
-2.43000000000004	-0.000114
-2.42000000000004	-0.000111
-2.41000000000004	-0.000107
-2.40000000000004	-0.000104
-2.39000000000004	-0.000101
-2.38000000000004	-9.79e-05
-2.37000000000004	-9.46e-05
-2.36000000000004	-9.07e-05
-2.35000000000004	-8.76e-05
-2.34000000000004	-8.5e-05
-2.33000000000004	-8.22e-05
-2.32000000000004	-7.95e-05
-2.31000000000004	-7.67e-05
-2.30000000000004	-7.35e-05
-2.29000000000004	-7.12e-05
-2.28000000000004	-6.89e-05
-2.27000000000004	-6.65e-05
-2.26000000000004	-6.43e-05
-2.25000000000004	-6.21e-05
-2.24000000000004	-6.01e-05
-2.23000000000004	-5.75e-05
-2.22000000000004	-5.55e-05
-2.21000000000004	-5.37e-05
-2.20000000000004	-5.18e-05
-2.19000000000004	-5.02e-05
-2.18000000000004	-4.85e-05
-2.17000000000004	-4.68e-05
-2.16000000000004	-4.47e-05
-2.15000000000004	-4.32e-05
-2.14000000000004	-4.16e-05
-2.13000000000004	-4.02e-05
-2.12000000000004	-3.89e-05
-2.11000000000004	-3.74e-05
-2.10000000000004	-3.55e-05
-2.09000000000005	-3.44e-05
-2.08000000000005	-3.32e-05
-2.07000000000005	-3.2e-05
-2.06000000000005	-3.09e-05
-2.05000000000005	-2.97e-05
-2.04000000000005	-2.86e-05
-2.03000000000005	-2.73e-05
-2.02000000000005	-2.63e-05
-2.01000000000005	-2.53e-05
-2.00000000000005	-2.44e-05
-1.99000000000005	-2.36e-05
-1.98000000000005	-2.28e-05
-1.97000000000005	-2.19e-05
-1.96000000000005	-2.08e-05
-1.95000000000005	-2.01e-05
-1.94000000000005	-1.94e-05
-1.93000000000005	-1.87e-05
-1.92000000000005	-1.79e-05
-1.91000000000005	-1.73e-05
-1.90000000000005	-1.64e-05
-1.89000000000005	-1.59e-05
-1.88000000000005	-1.53e-05
-1.87000000000005	-1.47e-05
-1.86000000000005	-1.41e-05
-1.85000000000005	-1.36e-05
-1.84000000000005	-1.31e-05
-1.83000000000005	-1.24e-05
-1.82000000000005	-1.2e-05
-1.81000000000005	-1.14e-05
-1.80000000000005	-1.1e-05
-1.79000000000005	-1.05e-05
-1.78000000000005	-1.02e-05
-1.77000000000005	-9.82e-06
-1.76000000000005	-9.26e-06
-1.75000000000005	-8.89e-06
-1.74000000000005	-8.54e-06
-1.73000000000005	-8.2e-06
-1.72000000000005	-7.89e-06
-1.71000000000005	-7.54e-06
-1.70000000000005	-7.15e-06
-1.69000000000005	-6.88e-06
-1.68000000000005	-6.63e-06
-1.67000000000005	-6.36e-06
-1.66000000000005	-6.08e-06
-1.65000000000005	-5.84e-06
-1.64000000000005	-5.61e-06
-1.63000000000005	-5.33e-06
-1.62000000000005	-5.11e-06
-1.61000000000005	-4.89e-06
-1.60000000000005	-4.69e-06
-1.59000000000005	-4.5e-06
-1.58000000000005	-4.34e-06
-1.57000000000005	-4.17e-06
-1.56000000000005	-3.94e-06
-1.55000000000005	-3.78e-06
-1.54000000000005	-3.62e-06
-1.53000000000005	-3.46e-06
-1.52000000000005	-3.32e-06
-1.51000000000005	-3.19e-06
-1.50000000000005	-3.01e-06
-1.49000000000005	-2.89e-06
-1.48000000000005	-2.78e-06
-1.47000000000005	-2.67e-06
-1.46000000000005	-2.57e-06
-1.45000000000005	-2.46e-06
-1.44000000000005	-2.35e-06
-1.43000000000005	-2.23e-06
-1.42000000000005	-2.13e-06
-1.41000000000005	-2.05e-06
-1.40000000000005	-1.97e-06
-1.39000000000005	-1.89e-06
-1.38000000000005	-1.82e-06
-1.37000000000005	-1.75e-06
-1.36000000000005	-1.66e-06
-1.35000000000005	-1.59e-06
-1.34000000000005	-1.53e-06
-1.33000000000005	-1.47e-06
-1.32000000000005	-1.41e-06
-1.31000000000005	-1.36e-06
-1.30000000000005	-1.28e-06
-1.29000000000005	-1.23e-06
-1.28000000000005	-1.19e-06
-1.27000000000005	-1.13e-06
-1.26000000000005	-1.09e-06
-1.25000000000005	-1.05e-06
-1.24000000000005	-1.01e-06
-1.23000000000005	-9.6e-07
-1.22000000000005	-9.2e-07
-1.21000000000005	-8.9e-07
-1.20000000000005	-8.6e-07
-1.19000000000005	-8.3e-07
-1.18000000000005	-7.9e-07
-1.17000000000005	-7.7e-07
-1.16000000000005	-7.3e-07
-1.15000000000005	-7.1e-07
-1.14000000000005	-6.8e-07
-1.13000000000005	-6.6e-07
-1.12000000000005	-6.3e-07
-1.11000000000005	-6.2e-07
-1.10000000000005	-5.9e-07
-1.09000000000005	-5.7e-07
-1.08000000000005	-5.6e-07
-1.07000000000005	-5.4e-07
-1.06000000000005	-5.2e-07
-1.05000000000005	-5.1e-07
-1.04000000000005	-4.9e-07
-1.03000000000005	-4.7e-07
-1.02000000000005	-4.5e-07
-1.01000000000005	-4.4e-07
-1.00000000000005	-4.3e-07
-0.990000000000046	-4.1e-07
-0.980000000000046	-4e-07
-0.970000000000046	-3.9e-07
-0.960000000000046	-3.7e-07
-0.950000000000046	-3.6e-07
-0.940000000000046	-3.5e-07
-0.930000000000046	-3.4e-07
-0.920000000000046	-3.3e-07
-0.910000000000046	-3.3e-07
-0.900000000000046	-3.1e-07
-0.890000000000046	-3.1e-07
-0.880000000000046	-3e-07
-0.870000000000046	-2.9e-07
-0.860000000000046	-2.8e-07
-0.850000000000046	-2.8e-07
-0.840000000000046	-2.7e-07
-0.830000000000046	-2.6e-07
-0.820000000000046	-2.5e-07
-0.810000000000046	-2.4e-07
-0.800000000000046	-2.4e-07
-0.790000000000046	-2.3e-07
-0.780000000000046	-2.3e-07
-0.770000000000046	-2.2e-07
-0.760000000000046	-2.1e-07
-0.750000000000046	-2.1e-07
-0.740000000000046	-2e-07
-0.730000000000046	-2e-07
-0.720000000000046	-1.9e-07
-0.710000000000046	-1.9e-07
-0.700000000000046	-1.8e-07
-0.690000000000046	-1.7e-07
-0.680000000000046	-1.7e-07
-0.670000000000046	-1.7e-07
-0.660000000000046	-1.6e-07
-0.650000000000046	-1.6e-07
-0.640000000000046	-1.5e-07
-0.630000000000046	-1.5e-07
-0.620000000000046	-1.5e-07
-0.610000000000046	-1.4e-07
-0.600000000000046	-1.3e-07
-0.590000000000046	-1.3e-07
-0.580000000000046	-1.3e-07
-0.570000000000046	-1.2e-07
-0.560000000000046	-1.2e-07
-0.550000000000046	-1.1e-07
-0.540000000000046	-1.1e-07
-0.530000000000046	-1.1e-07
-0.520000000000046	-1e-07
-0.510000000000046	-1e-07
-0.500000000000046	-1e-07
-0.490000000000046	-9e-08
-0.480000000000046	-9e-08
-0.470000000000046	-9e-08
-0.460000000000046	-8e-08
-0.450000000000046	-8e-08
-0.440000000000046	-8e-08
-0.430000000000046	-7e-08
-0.420000000000046	-7e-08
-0.410000000000046	-7e-08
-0.400000000000046	-7e-08
-0.390000000000046	-7e-08
-0.380000000000046	-6e-08
-0.370000000000046	-6e-08
-0.360000000000046	-6e-08
-0.350000000000046	-6e-08
-0.340000000000046	-5e-08
-0.330000000000046	-5e-08
-0.320000000000046	-5e-08
-0.310000000000046	-5e-08
-0.300000000000046	-5e-08
-0.290000000000046	-4e-08
-0.280000000000046	-4e-08
-0.270000000000046	-4e-08
-0.260000000000046	-4e-08
-0.250000000000046	-4e-08
-0.240000000000046	-4e-08
-0.230000000000046	-3e-08
-0.220000000000045	-3e-08
-0.210000000000045	-3e-08
-0.200000000000045	-3e-08
-0.190000000000045	-3e-08
-0.180000000000045	-3e-08
-0.170000000000045	-3e-08
-0.160000000000045	-3e-08
-0.150000000000045	-3e-08
-0.140000000000045	-2e-08
-0.130000000000045	-2e-08
-0.120000000000045	-2e-08
-0.110000000000045	-2e-08
-0.100000000000045	-2e-08
-0.0900000000000454	-2e-08
-0.0800000000000454	-2e-08
-0.0700000000000454	-2e-08
-0.0600000000000454	-2e-08
-0.0500000000000454	-1e-08
-0.0400000000000454	-1e-08
-0.0300000000000454	-1e-08
-0.0200000000000454	-1e-08
-0.0100000000000454	-1e-08
-4.54324078358326e-14	-1e-08
0.00999999999995457	0.0
0.0199999999999546	0.0
0.0299999999999546	0.0
0.0399999999999546	1e-08
0.0499999999999546	1e-08
0.0599999999999546	2e-08
0.0699999999999546	2e-08
0.0799999999999546	3e-08
0.0899999999999546	4e-08
0.0999999999999546	5e-08
0.109999999999955	7e-08
0.119999999999955	1e-07
0.129999999999955	1.2e-07
0.139999999999955	1.5e-07
0.149999999999955	1.8e-07
0.159999999999955	2.1e-07
0.169999999999955	2.8e-07
0.179999999999955	3.5e-07
0.189999999999955	4.2e-07
0.199999999999955	5e-07
0.209999999999955	6e-07
0.219999999999955	7.3e-07
0.229999999999955	8.9e-07
0.239999999999955	1.14e-06
0.249999999999955	1.33e-06
0.259999999999955	1.61e-06
0.269999999999955	1.95e-06
0.279999999999955	2.3e-06
0.289999999999955	2.78e-06
0.299999999999955	3.31e-06
0.309999999999955	4.21e-06
0.319999999999955	5.04e-06
0.329999999999955	6e-06
0.339999999999955	7.11e-06
0.349999999999955	8.28e-06
0.359999999999955	9.81e-06
0.369999999999955	1.245e-05
0.379999999999955	1.468e-05
0.389999999999955	1.73e-05
0.399999999999955	2.06e-05
0.409999999999955	2.41e-05
0.419999999999955	2.84e-05
0.429999999999955	3.37e-05
0.439999999999955	4.21e-05
0.449999999999955	4.83e-05
0.459999999999955	5.64e-05
0.469999999999955	6.61e-05
0.479999999999955	7.76e-05
0.489999999999955	9.12e-05
0.499999999999955	0.0001062
0.509999999999955	0.0001307
0.519999999999955	0.000151
0.529999999999955	0.000178
0.539999999999955	0.000207
0.549999999999955	0.000239
0.559999999999955	0.000279
0.569999999999955	0.000341
0.579999999999955	0.000404
0.589999999999955	0.000475
0.599999999999955	0.000551
0.609999999999955	0.000644
0.619999999999955	0.000762
0.629999999999955	0.000904
0.639999999999955	0.001125
0.649999999999955	0.001313
0.659999999999955	0.00156
0.669999999999955	0.00188
0.679999999999955	0.00226
0.689999999999955	0.00272
0.699999999999955	0.00327
0.709999999999955	0.00425
0.719999999999955	0.00514
0.729999999999955	0.0062
0.739999999999955	0.00743
0.749999999999955	0.00894
