R,c1,c2,zak,u
30180.0,0.015,0.00125,40000.0,290.23398032162487
17550.0,0.015,0.00125,40000.0,180.8549718236503
15770.0,0.015,0.00125,40000.0,165.43971963628724
14150.0,0.015,0.00125,40000.0,151.41010809497936
12300.0,0.015,0.00125,40000.0,135.38863812496726
10620.0,0.015,0.00125,40000.0,120.83941134138867
9320.0,0.015,0.00125,40000.0,109.58108109219097
8050.000000000001,0.015,0.00125,40000.0,98.58255846412861
7200.0,0.015,0.00125,40000.0,91.22134253196087
6140.0,0.015,0.00125,40000.0,82.04147325184583
5550.0,0.015,0.00125,40000.0,76.93192336951763
4800.0,0.015,0.00125,40000.0,70.43673284113434
4250.0,0.015,0.00125,40000.0,65.67359312031994
3810.0,0.015,0.00125,4000.0,35.882319230135245
3361.0,0.015,0.00125,4000.0,31.993865167143113
3012.0,0.015,0.00125,4000.0,28.971436507935422
2669.0,0.015,0.00125,4000.0,26.000969372954795
2378.0,0.015,0.00125,4000.0,23.48083544794208
2137.0,0.015,0.00125,4000.0,21.393714224821583
1945.0,0.015,0.00125,4000.0,19.73094544955546
1748.0,0.015,0.00125,4000.0,18.02487540410012
1575.0,0.015,0.00125,4000.0,16.52665145555304
1450.0,0.015,0.00125,4000.0,15.44411970082249
1316.0,0.015,0.00125,4000.0,14.283645659751341
1198.0,0.015,0.00125,4000.0,13.261735683285703
1089.0,0.015,0.00125,4000.0,12.317767993160667
990.0,0.015,0.00125,4000.0,11.460402843414073
897.0,0.015,0.00125,4000.0,10.654999217894543
817.0,0.015,0.00125,4000.0,9.962178894866993
750.0,0.015,0.00125,4000.0,9.38194187433142
684.0,0.015,0.00125,4000.0,8.81036510783369
625.0,0.015,0.00125,4000.0,8.299410119600871
575.0,0.015,0.00125,4000.0,7.866397417708652
538.0,0.015,0.00125,4000.0,7.545968018308409
