lambda	flux	U[mV]	zakres	EQE
				a.u.
2	10.45	0.57	200	0.0545454545454545
1.9	12.5	0.66	200	0.0528
1.8	15.9	0.76	200	0.0477987421383648
1.7	20.2	0.93	200	0.046039603960396
1.6	23.2	1.14	200	0.0491379310344828
1.5	24.6	1.45	200	0.0589430894308943
1.4	23.85	1.93	200	0.0809224318658281
1.35	24.2	2.26	200	0.0933884297520661
1.3	24.5	2.83	200	0.115510204081633
1.25	23.7	5.21	200	0.219831223628692
1.2	22.4	54.75	200	2.44419642857143
1.18	21.65	121.11	200	5.59399538106236
1.16	20.7	230.7	2000	11.1449275362319
1.14	19.9	460.6	2000	23.1457286432161
1.12	19	763.5	2000	40.1842105263158
1.1	18.1	1085.9	2000	59.9944751381215
1.08	17.1	1516.5	2000	88.6842105263158
1.06	16	2166	20000	135.375
1.04	14.9	2865	20000	192.281879194631
1.02	13.5	3145	20000	232.962962962963
1	12.3	3221	20000	261.869918699187
0.98	11	3066	20000	278.727272727273
0.96	9.9	2806	20000	283.434343434343
0.94	8.6	2497	20000	290.348837209302
0.92	7.4	2149	20000	290.405405405405
0.9	6.2	1811	2000	292.096774193548
0.88	5.1	1489	2000	291.960784313726
0.86	4.2	1220.9	2000	290.690476190476
0.84	3.5	1026.3	2000	293.228571428571
0.82	3.13	884.9	2000	282.715654952077
0.8	2.85	783.7	2000	274.982456140351
0.78	2.61	700.4	2000	268.352490421456
0.76	2.41	631.2	2000	261.908713692946
0.74	2.17	562.2	2000	259.078341013825
0.72	1.92	494.1	2000	257.34375
0.7	1.64	429.4	2000	261.829268292683
0.68	1.42	366	2000	257.746478873239
0.66	1.16	304.5	2000	262.5
0.64	0.955	250.5	2000	262.303664921466
0.62	0.775	200.6	2000	258.838709677419
0.6	0.66	156.33	200	236.863636363636
0.58	0.48	119.68	200	249.333333333333
0.56	0.37	88.58	200	239.405405405405
0.54	0.268	63.55	200	237.126865671642
0.52	0.192	44.35	200	230.989583333333
0.51	0.159	36.04	200	226.666666666667
0.5	0.13	29.43	200	226.384615384615
0.49	0.106	23.72	200	223.77358490566
0.48	0.085	18.96	200	223.058823529412
0.47	0.0684	14.87	200	217.397660818713
0.46	0.0541	11.56	200	213.678373382625
0.45	0.041	8.96	200	218.536585365854
